symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
TATAPOWER,Neutral,⚪,Neutral / Mixed Positioning,-1.6,65,0.63,0.63,360.0,400.0,390050,408900,3.9,4.09,701800,440800,-2.2 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -2.6 ATM±5 zone raw flow: CE +7.02L vs PE +4.41L (institutional tilt Call-heavy)
MANAPPURAM,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-24.2,79,0.79,0.83,340.0,370.0,1194000,357000,11.94,3.57,786000,372000,"-16.3 Moderate Call Writing (ATM zone) | -1.9 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | +5.0 Volume favors Puts | -13.3 Full-chain Dual Build-Up is Call-heavy (+11.94L CE vs +3.57L PE, 3.3x) | -4.1 ATM±5 zone raw flow: CE +7.86L vs PE +3.72L (institutional tilt Call-heavy)"
SWIGGY,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-13.1,70,0.63,0.63,280.0,300.0,510990,348570,5.11,3.49,801165,310250,"-7.1 Moderate Call Writing (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.2 Full-chain Dual Build-Up is Call-heavy (+5.11L CE vs +3.49L PE, 1.5x) | -4.9 ATM±5 zone raw flow: CE +8.01L vs PE +3.10L (institutional tilt Call-heavy)"
PNB,Neutral,⚪,Neutral / Mixed Positioning,0.8,65,0.72,0.72,115.0,120.0,288000,328000,2.88,3.28,824000,688000,-0.9 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.4 ATM±5 zone raw flow: CE +8.24L vs PE +6.88L (institutional tilt Call-heavy)
LT,Bearish,🔴,Short Build-Up,-59.8,91,0.62,0.72,4000.0,4100.0,901250,65450,9.01,0.65,897750,62475,"-29.5 Strong Call Writing (ATM zone) | -5.3 Full-chain confirmation (Call-heavy) | -4.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+9.01L CE vs +0.65L PE, 13.8x) | -6.0 ATM±5 zone raw flow: CE +8.98L vs PE +0.62L (institutional tilt Call-heavy)"
HINDZINC,Bearish,🟠,Long Unwinding,-21.0,84,0.69,0.73,600.0,600.0,469175,-692130,4.69,-6.92,927325,-736230,-14.6 Moderate Call Writing (ATM zone) | -1.8 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +9.27L vs PE -7.36L (institutional tilt Call-heavy)
IDFCFIRSTB,Bullish,🟢,Bullish OI Bias (Fresh Put Writing),22.8,85,0.62,0.61,80.0,90.0,677130,1817900,6.77,18.18,992485,1882820,"+1.9 Call/Put roughly balanced (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +10.9 Full-chain Dual Build-Up is Put-heavy (+18.18L PE vs +6.77L CE, 2.7x) | +6.0 ATM±5 zone raw flow: CE +9.92L vs PE +18.83L (institutional tilt Put-heavy)"
ICICIBANK,Bearish,🔴,Strong Bearish (Heavy Put Unwinding),-51.8,90,0.75,0.91,1400.0,1440.0,1389500,-1611400,13.89,-16.11,1400700,-1572200,-36.7 Strong Call Writing (ATM zone) | -5.7 Full-chain confirmation (Call-heavy) | -6.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +14.01L vs PE -15.72L (institutional tilt Call-heavy)
IRFC,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-28.0,87,0.72,0.75,80.0,90.0,2788430,938545,27.88,9.39,1470170,911410,"-11.1 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -12.0 Full-chain Dual Build-Up is Call-heavy (+27.88L CE vs +9.39L PE, 3.0x) | -5.6 ATM±5 zone raw flow: CE +14.70L vs PE +9.11L (institutional tilt Call-heavy)"
RVNL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-32.3,88,0.63,0.66,200.0,230.0,1730575,367670,17.31,3.68,1561170,379225,"-9.5 Moderate Call Writing (ATM zone) | -1.6 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -17.0 Full-chain Dual Build-Up is Call-heavy (+17.31L CE vs +3.68L PE, 4.7x) | -6.0 ATM±5 zone raw flow: CE +15.61L vs PE +3.79L (institutional tilt Call-heavy)"
BEL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-18.1,84,0.78,0.8,410.0,415.0,1865320,829350,18.65,8.29,1765570,792300,"-4.6 Moderate Call Writing (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.9 Full-chain Dual Build-Up is Call-heavy (+18.65L CE vs +8.29L PE, 2.2x) | -6.0 ATM±5 zone raw flow: CE +17.66L vs PE +7.92L (institutional tilt Call-heavy)"
VEDL,Bearish,🔴,Short Build-Up,-25.4,85,0.59,0.63,275.0,300.0,1828500,-55200,18.29,-0.55,1945800,-123050,-18.8 Moderate Call Writing (ATM zone) | -2.0 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +19.46L vs PE -1.23L (institutional tilt Call-heavy)
NBCC,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-24.4,85,0.48,0.53,90.0,90.0,2327000,-162500,23.27,-1.62,2320500,-175500,-16.6 Moderate Call Writing (ATM zone) | -2.8 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +23.20L vs PE -1.75L (institutional tilt Call-heavy)
NMDC,Bearish,🔴,Short Build-Up,-29.1,87,0.57,0.59,85.0,90.0,2814750,587250,28.15,5.87,2720250,472500,"-7.2 Moderate Call Writing (ATM zone) | -0.9 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -17.2 Full-chain Dual Build-Up is Call-heavy (+28.15L CE vs +5.87L PE, 4.8x) | -6.0 ATM±5 zone raw flow: CE +27.20L vs PE +4.72L (institutional tilt Call-heavy)"
ADANIPOWER,Bearish,🔴,Short Build-Up,-35.0,89,0.58,0.61,200.0,210.0,4359350,713550,43.59,7.14,4160550,706450,"-11.1 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+43.59L CE vs +7.14L PE, 6.1x) | -6.0 ATM±5 zone raw flow: CE +41.61L vs PE +7.06L (institutional tilt Call-heavy)"
CANBK,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-24.3,86,0.83,0.87,130.0,130.0,5481000,2106000,54.81,21.06,4245700,2133000,"-7.7 Moderate Call Writing (ATM zone) | -1.5 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -10.5 Full-chain Dual Build-Up is Call-heavy (+54.81L CE vs +21.06L PE, 2.6x) | -6.0 ATM±5 zone raw flow: CE +42.46L vs PE +21.33L (institutional tilt Call-heavy)"
